scenario,budget,risk_label,rho_min,rho_min_90,rho_min_95,rho_max_90,rho_max_95,rho_max,risk_min,risk_min_90,risk_min_95,risk_max_90,risk_max_95,risk_max
Town01_T-Intersection,10.0,high,180.17318188181451,208.41262927638613,197.26002974056183,468.2213727190125,649.8940854917411,1256.2847618574392,0.1961204282315024,0.6685929185711328,0.5280926251076723,2.5295646760515482,2.7723578503809967,3.094595930816769
Town01_T-Intersection,10.0,low,215.89211067327375,297.96855860017814,272.5487444535851,98799.99999603914,98800.00039126597,98873.84344009135,0.003,0.003,0.003,1.3887291009472276,1.6348193250848426,2.508364656833823
Town01_T-Intersection,10.0,medium,172.96914852446753,222.9067561457136,200.90580881787378,745.348663670078,1234.7640130413447,98808.8491308363,0.003,0.4244484028983084,0.26595913971980667,1.8046741950939498,2.060470006997786,3.234567056184246
Town01_T-Intersection,10.0,very,169.75390047771933,199.1400793324603,189.36594559461287,358.330596189406,460.3207477757013,861.377776807631,0.3313803513678677,0.8582635447368064,0.5937596091110567,2.4263341139949404,2.729535463965277,3.125875619318849
Town01_T-Intersection,15.0,high,121.66348859862507,160.9377777019034,150.35126352432763,443.9451894247415,649.4741286409852,98898.45792142984,0.003,0.6716871366682415,0.3794719165270525,2.684229759998884,2.9890360054898353,4.128453864259407
Town01_T-Intersection,15.0,low,163.44054165949058,293.6084984459811,227.18699854469807,98799.99999603914,98861.04376833403,98898.45792142984,0.003,0.003,0.003,1.305645715857113,1.443632862551819,1.7760818709154176
Town01_T-Intersection,15.0,medium,122.86217120298124,168.89388814319696,160.98905189441928,1757.978208512105,84549.99999603665,98881.39169242009,0.003,0.25550435843468666,0.004,2.539077392477865,2.8101424552130494,3.789364676895533
Town01_T-Intersection,15.0,very,123.89489719413896,143.03306499128146,141.5401749166716,330.4557529586247,396.41700403548083,716.7062762892466,0.4135585382657615,0.9263174293698145,0.7764923872362648,3.3462758445418213,3.511170250098694,4.600635513635234
Town01_T-Intersection,20.0,high,120.31501593506708,148.57389669402676,141.9976367437796,419.33015642084325,580.6282264662535,98799.99999603727,0.004,0.7398296166807358,0.6261178900021709,3.014208526730738,3.7502758148928796,3.8903221037776
Town01_T-Intersection,20.0,low,170.72925836682532,296.6526645441936,218.40481547518732,98800.00039126597,98849.34695987508,98898.45792142984,0.003,0.003,0.003,1.6103674745850685,1.8031878889573418,2.2547552383883733
Town01_T-Intersection,20.0,medium,107.79184584312235,183.88193068501144,157.39704512521885,2255.852636186944,98787.84058947678,98881.39169242009,0.003,0.11722689297393442,0.004,2.2153343594276707,2.6169932836514183,3.3674206667581394
Town01_T-Intersection,20.0,very,97.39514876634041,131.20638762787374,120.26828753372713,366.6798967552986,491.06131533830546,1040.5786385689835,0.2848415200809915,0.9196325601189285,0.6435306399295334,3.2792493971915766,3.8627903607114678,4.251653390481366
Town01_T-Intersection,25.0,high,122.38093272711218,155.4997326668726,144.65580766696576,527.2240398977376,650.7026363656908,2805.0686944520135,0.1057529092474548,0.6672862768389473,0.6022102228917865,2.7018893287761987,3.179492664268581,3.9668199344989663
Town01_T-Intersection,25.0,low,153.04446531441178,297.1443877008925,217.22599367351881,98799.99999607583,98811.45886002187,98898.45792142984,0.003,0.003,0.003,1.3964764228357256,1.571755258182371,2.177535307667937
Town01_T-Intersection,25.0,medium,101.61664687353704,160.43242070080763,145.4446726615601,1040.6473861510513,78966.66668249073,98800.00039126597,0.003,0.2931446137161987,0.004,2.3518892385001977,2.536396551802432,3.3941575256169214
Town01_T-Intersection,25.0,very,105.34532957316121,132.33967632682507,119.0568756277967,315.01959433768565,383.4794853117412,2036.6524904943117,0.2180047920011907,1.0081491272477843,0.7852149123428995,3.1439517150181207,3.3737216278569044,4.784560512270979
Town03_Roundabout,10.0,high,135.70722252345618,161.44966692869684,153.49808874055594,487.9860112787095,634.420135805298,2779.150673817092,0.1421926712359162,0.5898263170425743,0.4639970342322798,1.7913808257260657,2.25037200798438,2.491038629167499
Town03_Roundabout,10.0,low,159.74047845083436,268.3526692549472,239.474555839182,98774.57773465861,98775.42344906899,98791.61927914764,0.003,0.003,0.003,0.980586708626933,1.2190047420680672,1.793253212107202
Town03_Roundabout,10.0,medium,141.068292781332,173.6639478762024,154.50270049583307,10921.46164416779,95644.89486046779,98791.492022866,0.003,0.09645062775834536,0.003,1.5951605190093363,1.7761940434337908,2.4202459668512724
Town03_Roundabout,10.0,very,131.28474750232766,160.19837229915504,147.77678698482697,318.376851904803,413.8459180436712,2199.6720164780872,0.1299925325829317,0.8867539345550147,0.7147852581452983,1.863230710918488,2.086539563957615,2.469681652638832
Town03_Roundabout,15.0,high,93.36237810010826,147.81180668040406,129.39980921761165,541.650398918335,685.328711632491,88525.8001416452,0.004,0.5261133820359053,0.4179676843965352,1.979180838466127,2.1675392435932865,2.984434149038228
Town03_Roundabout,15.0,low,155.28837555256763,297.4182224770162,231.83507245333286,98642.79813441122,98774.57773465861,98791.61927914764,0.003,0.003,0.003,0.9776013958141023,1.156501688718407,1.6440586707790434
Town03_Roundabout,15.0,medium,112.60833733577702,187.98727714280693,141.06544152019518,2394.332576786642,85101.0667661304,98791.61927914764,0.003,0.11946927817421468,0.003,1.8059941929774195,2.0627005337794024,2.299411267866552
Town03_Roundabout,15.0,very,110.39743426657056,134.02231624777718,123.3515427698974,360.3619161812734,399.6891714902174,599.2840257030697,0.4406520351525096,0.7924909065872968,0.7237140699181547,2.1936103431679155,2.330819593527063,2.824936795981399
Town03_Roundabout,20.0,high,108.01245756104,148.03804326164777,138.1822290536279,532.4635156701124,628.3129510157459,1577.345584135787,0.1562118046545425,0.5462096768281665,0.44196264799979196,2.0044600404300943,2.215189677401403,2.51874949038394
Town03_Roundabout,20.0,low,162.4662168197478,297.9976978947527,252.8433060612398,98774.57773465861,98791.492022866,98793.71451928718,0.003,0.003,0.003,0.950793458204717,1.234350666344233,1.8239098503336209
Town03_Roundabout,20.0,medium,109.97366382710237,178.1795886765787,162.68651738447807,85220.96010205314,95642.92983379556,98791.61927914764,0.003,0.003,0.003,1.670459977436033,1.8998797774252527,2.694962116597256
Town03_Roundabout,20.0,very,94.50261628966331,121.64718260863565,115.81815498283217,348.46353510635475,399.1419828874749,1189.0403656177662,0.2492551848015829,0.8585897050336954,0.7064495181727797,2.440321046366893,2.6103274063684645,2.980028759692735
Town03_Roundabout,25.0,high,101.35549424864676,133.15988401356861,118.67766597592669,498.19901827710277,670.0924750100907,85101.0667661304,0.003,0.5693282741984951,0.42327494346109124,2.195229635525735,2.4640962989488098,3.1195208280066486
Town03_Roundabout,25.0,low,148.068906315275,267.3396037258115,222.01910719118507,95485.0420285,98774.57773465861,98793.71451928718,0.003,0.003,0.003,1.0452793241996228,1.430986389769899,2.0217801519726226
Town03_Roundabout,25.0,medium,117.43258671972401,168.264725970178,151.70072250609556,2145.7005084042808,82133.33342057494,98774.57773465861,0.003,0.13813758353519243,0.003,1.733662679453804,1.9881840330135765,2.7013115128917726
Town03_Roundabout,25.0,very,102.21409615732924,131.36976476277133,119.6311408236605,368.8972244115748,399.8563168859928,604.4515403152326,0.4902357152559121,0.8539490148373339,0.7343842711284009,2.333171263073308,2.6668330170623786,2.9781294013932165
Town05_Highway1,10.0,high,180.52175029687282,194.15398294257065,189.5268527809649,470.43411619656615,640.7480941833139,90923.19514680402,0.003,0.682289286907246,0.5735664314883351,2.2167933346028206,2.474226539622724,3.1218967709207472
Town05_Highway1,10.0,low,178.66590429069433,288.9989138526876,235.96779753444252,98358.05012484743,98358.05088188648,98358.05187453913,0.003,0.003,0.003,1.2640319240706184,1.5641837068975806,2.4180296378911392
Town05_Highway1,10.0,medium,189.0557758637791,220.90956484962436,206.13562001673725,91266.94766668847,97819.1955430111,98358.05128991991,0.003,0.0058000000000000005,0.003,1.7479261003444724,2.285416265374456,3.0007285287020027
Town05_Highway1,10.0,very,173.26953429480793,186.81184944016005,182.52781904103261,385.40636350714254,435.30348547503854,717.2878579732514,0.4113748042982356,0.914072732326914,0.7657631638980958,2.3350446012090837,2.628770424638693,3.1456001930450115
Town05_Highway1,15.0,high,124.58131016494139,149.42680774926833,134.90573593025226,416.6834329626518,559.6180424358678,2332.0723808039293,0.1213865244351287,0.7610538388501809,0.5284758519769502,2.8947547464288057,3.1727634022119795,5.096917026696096
Town05_Highway1,15.0,low,153.8250487685815,290.2278739613981,261.8511728171481,97926.49848937348,98207.90253581283,98358.05170489944,0.003,0.003,0.003,1.1204997372420837,1.421464505421072,1.773245564516439
Town05_Highway1,15.0,medium,128.7273033190523,190.16841013958728,167.9095864677989,1772.88768312701,97931.80676922831,98358.05170489944,0.003,0.16955069572951106,0.003,2.029593012205034,2.2886453419831843,3.0401838032699726
Town05_Highway1,15.0,very,120.8955865180182,146.0959803583311,140.7632969186002,308.19897009221467,373.29596872254143,933.3727635497586,0.3139116808656709,1.0369687881076288,0.8736828664953743,2.793056131278788,3.3500997296544512,4.623646599866023
Town05_Highway1,20.0,high,103.94947179526962,150.95359807793648,133.47931857447472,574.0175623759618,690.7875957706524,2575.390238710487,0.1099181618311506,0.4965759001091306,0.4223215516840144,2.7259806241490416,3.1002019468883373,4.308421871140352
Town05_Highway1,20.0,low,167.3253316150544,331.60854924420784,288.3994534258161,98358.05095150114,98358.05170489944,98358.05187453913,0.003,0.003,0.003,1.292097532568372,1.6301969140011405,2.088471041840413
Town05_Highway1,20.0,medium,135.2147450711044,202.12218839188606,171.69715815459108,1511.96677460076,8210.239184918797,98358.05012484743,0.003,0.19183084884342846,0.1309664035057697,2.033181752871737,2.2978739863909428,3.600073344239135
Town05_Highway1,20.0,very,115.5355365459639,137.96940933791313,128.43690995603825,323.56060578156087,384.99111501161184,1074.3395788447901,0.2746563191801277,0.9047428351492385,0.7777881770837833,2.846275535980016,3.110795932764309,4.523923514115292
Town05_Highway1,25.0,high,112.04071834753215,153.01192401186898,129.07215760819133,515.5128499467797,632.3463087999672,98358.05012484743,0.003,0.7545240564956585,0.46664019572131,2.639708107237703,2.940842584897676,3.736597014412559
Town05_Highway1,25.0,low,157.58036634735095,259.65140988357524,212.66509081464312,98115.77548983238,98358.05087494043,98358.05170489944,0.003,0.003,0.003,1.4322813046830607,1.7229848655852271,2.307393702502439
Town05_Highway1,25.0,medium,121.34575390104517,174.91190057831406,160.95662957862206,1216.6564743409133,2245.596536175735,97665.53769338036,0.003,0.2952045204534112,0.16745615075738504,2.1068579681559747,2.3887286896950215,3.8152042328317535
Town05_Highway1,25.0,very,124.39267472204564,147.35642184958527,139.2166773573731,299.88849294893527,427.3870231956488,909.696519588382,0.3243654866444397,1.0412585033323303,0.7438028785011795,2.657470620317506,2.986509976602511,4.040219448308016
Town05_Highway2,10.0,high,246.07002661541569,255.6097863782079,254.0296732157588,458.97340582376324,592.7326034733497,1001.936517121858,0.2940306044732246,0.9761342196236447,0.7657748375125167,2.353366668404035,2.537699868722182,2.685367605988622
Town05_Highway2,10.0,low,255.24342432992307,331.8063175363385,287.8792441705127,97898.74455891739,98230.7539907327,98358.05130381072,0.003,0.005,0.004,1.5437489027482258,1.8752536269183604,2.521232257618522
Town05_Highway2,10.0,medium,249.066545230472,269.1761052789308,260.5881236055419,1783.19313800167,7887.631934052197,98358.05068161513,0.003,0.2202221943645626,0.13041533321353393,2.270027709943082,2.4255614646200954,2.6837479270388056
Town05_Highway2,10.0,very,247.7392402425137,257.6642882805205,253.22679208674833,325.4008045736436,357.9009559118439,458.26318694971354,0.6536644920502105,1.035917986531994,0.9567516537827144,2.5583015400623115,2.6402674167613585,2.6871795670171315
Town05_Highway2,15.0,high,162.82061486153034,177.66670190765748,173.2161568369962,454.5336250675908,558.2903811932337,975.6983075192688,0.3019375946673582,0.9799141092020481,0.7773892125314094,3.2940315847793613,3.4308409750447595,3.95320955639342
Town05_Highway2,15.0,low,203.60554296101964,319.7228102981395,289.98429933330993,98025.1865989025,98251.85255499659,98358.05143143715,0.003,0.0039000000000000003,0.003,1.6536337408196748,1.7836889340454585,2.197795930600773
Town05_Highway2,15.0,medium,167.07521357960297,206.99555405322283,195.88234479599825,1671.9539953263813,95974.62668365937,98358.0511373884,0.003,0.2695236771581426,0.00495,2.5399552325552146,2.780715006248837,3.753031955078598
Town05_Highway2,15.0,very,168.8695219866317,173.12314425042987,170.67604570158576,291.94786153012717,359.44108022879277,594.605900176877,0.704542000487988,1.3356246041301973,1.0485444447982175,3.4642298224835524,3.7070609813980773,3.9355114774219104
Town05_Highway2,20.0,high,128.83171315742214,148.52329556033905,144.91939857381246,414.4478077737889,528.299578591475,1386.4256144816702,0.2236449146217856,1.1056021381516867,0.7987193137786162,3.900277595909921,4.09598375377151,4.581745043452773
Town05_Highway2,20.0,low,169.88035130260462,296.84462669941496,237.47992721778502,96676.0582166417,98200.42182817549,98358.05142501286,0.003,0.004,0.003,1.6089266787603789,2.0720727206847886,3.1604235577406183
Town05_Highway2,20.0,medium,164.91721891174504,216.8913272011995,175.8900603399486,1717.4946213012558,92796.97233509718,98329.07762661624,0.003,0.19299262012270568,0.00495,2.4796546350492896,2.820162408271418,4.026057452508079
Town05_Highway2,20.0,very,123.20343916883428,151.85495809904708,140.93106670973827,280.43520900557206,398.1020758950221,1077.3338444562705,0.2531894703243809,1.3727583397516563,1.135452361139329,3.903436767332854,4.175734334670092,5.234558988082798
Town05_Highway2,25.0,high,130.21863461045336,168.66976823921658,154.0875117427569,423.34038147809554,650.968959729769,98358.05170489944,0.003,1.0729004667783455,0.4855293771696256,3.3364471497797594,3.580950391495452,3.962905344231068
Town05_Highway2,25.0,low,193.11524394266496,265.5048934874262,237.82435496541606,98199.9997984572,98286.56612681717,98358.05126065602,0.003,0.004,0.004,1.6568073118585747,2.2244776793682792,2.84189477993992
Town05_Highway2,25.0,medium,109.35375328371684,202.36699729407698,185.56456363133327,1144.1107107906553,8457.089011635615,98273.75874216123,0.003,0.37686511851138144,0.12307946743159581,2.736416648935163,2.8572914905188598,3.606670285547001
Town05_Highway2,25.0,very,130.1978201660496,148.16975553135669,142.06657480037026,300.4918801313911,331.1675141915406,1830.8679958478228,0.148983753093625,1.477999434276198,1.0406538965378116,3.918888484638202,4.170859242207919,4.841740551937889
Town05_Highway3,10.0,high,447.11549690219,467.1888020258502,462.57125868117424,644.7084153647157,940.7031111066204,2693.4042681856517,0.1348569084658374,0.5181265110215219,0.40222796007646333,1.4374632519724346,1.4511599194535187,1.45856095239873
Town05_Highway3,10.0,low,465.3087568709987,507.7441361388577,488.30071521698886,98181.16480497617,98314.53793514802,98358.05128991991,0.003,0.006,0.003,1.2046712690254469,1.3448475575974805,1.45727105312759
Town05_Highway3,10.0,medium,452.9151273652118,475.6787294858876,472.15544217069606,1053.8868321043085,1286.5213088530259,98358.05143143715,0.003,0.49052332576799423,0.2825469822578631,1.404653815120896,1.4276219603044358,1.4598969635535288
Town05_Highway3,10.0,very,439.28939219406004,460.16991056146475,455.6258093049781,555.0790982544889,717.2112385018137,1585.8698469201786,0.2336466671686449,0.5415469731360693,0.4129550251009806,1.4447510559146577,1.453799076126164,1.4587244108984647
Town05_Highway3,15.0,high,302.57186661481575,314.950752467436,311.5482339995204,419.0431905306921,527.2398066832607,98358.05106363121,0.005,0.9357490774903084,0.7559571085936095,2.1682386228070154,2.1781988623916986,2.1892820967956474
Town05_Highway3,15.0,low,310.19335001389385,363.56775113397777,330.4349815933473,98030.61483300487,98355.2684886909,98358.05165633632,0.003,0.005,0.004,1.7063602496881134,1.8897986074944322,2.173552570333746
Town05_Highway3,15.0,medium,310.05272490833863,319.78662907936575,315.51447253095625,940.16696601019,1284.87108478683,98358.05165633632,0.003,0.5570835980586307,0.38231865422636635,2.0887586435198897,2.166779704519821,2.1899459338546947
Town05_Highway3,15.0,very,296.8751504513789,312.3337371679634,308.400499147921,362.4379103385923,389.13594584511867,635.6101407571274,0.6759253195807006,1.006623304887054,0.8532239794710186,2.172193361694027,2.1821629794907516,2.188625300515062
Town05_Highway3,20.0,high,231.16612400491692,238.21775392943704,236.8133399251097,389.1697531104171,459.9893378056107,1277.3451825534175,0.4329836328575506,1.1646272233659742,0.9841706376210408,2.815520476606485,2.881267750408608,2.9143389683053
Town05_Highway3,20.0,low,219.3862322301141,345.2065717876738,285.33924964560674,98174.07029291394,98239.81799635162,98358.05170489944,0.003,0.006,0.005,1.785045793836139,2.0788548625382632,2.794815349027799
Town05_Highway3,20.0,medium,236.6856704631874,248.46947167956196,243.32193731028565,873.1161746293747,1463.1860337972594,98355.2684886909,0.004,0.6474814916271836,0.4002542888228287,2.5347920390539462,2.7705370105803215,2.9035468012702865
Town05_Highway3,20.0,very,222.63768078285008,236.14992154665381,234.22208785151653,306.50661067454735,342.20752031635317,549.0900080226414,0.4967666165019061,1.4858749506700795,1.1585514014021616,2.8834131180691616,2.900289588911746,2.9199129616342354
Town05_Highway3,25.0,high,177.54057958647618,193.0037465442486,189.83006186107988,432.84609570755373,592.4809081586297,1856.1903065375966,0.1589676173478959,1.1512668472707455,0.8466042992749753,3.4704472401785993,3.5714097569356515,3.633154378416906
Town05_Highway3,25.0,low,251.7032972525869,360.9453495479663,319.2454248658746,97920.41550515493,98262.3444648544,98358.05143143715,0.003,0.007,0.00495,1.702382792761387,1.8934641197290583,2.5795556296976616
Town05_Highway3,25.0,medium,189.28768750431846,218.14455900456494,204.4512977521077,947.0012621476503,1400.2894765058768,98358.05087494043,0.003,0.5517823583204733,0.36845793772744534,2.7760292895674517,3.065563624652022,3.6206082127666894
Town05_Highway3,25.0,very,182.77612216719666,190.27206845007504,189.21394442519372,295.0994843819236,338.4396355837813,859.5161120363076,0.3173524982494915,1.4803467258298413,1.1810644916310933,3.541898040568278,3.59719827038236,3.645568375766855
